serie Name,"país Name","2015"
"School enrollment, secondary, female (% gross)","Afghanistan","36.75185"
"School enrollment, secondary, female (% gross)","Albania","95.12266"
"School enrollment, secondary, female (% gross)","Algeria","NA"
"School enrollment, secondary, female (% gross)","American Samoa","NA"
"School enrollment, secondary, female (% gross)","Andorra","NA"
"School enrollment, secondary, female (% gross)","Angola","NA"
"School enrollment, secondary, female (% gross)","Antigua and Barbuda","109.34783"
"School enrollment, secondary, female (% gross)","Arab World","67.96692"
"School enrollment, secondary, female (% gross)","Argentina","110.15841"
"School enrollment, secondary, female (% gross)","Armenia","88.33324"
"School enrollment, secondary, female (% gross)","Aruba","NA"
"School enrollment, secondary, female (% gross)","Australia","145.88804"
"School enrollment, secondary, female (% gross)","Austria","98.45524"
"School enrollment, secondary, female (% gross)","Azerbaijan","NA"
"School enrollment, secondary, female (% gross)","Bahamas, The","66.72322"
"School enrollment, secondary, female (% gross)","Bahrain","101.80012"
"School enrollment, secondary, female (% gross)","Bangladesh","69.65406"
"School enrollment, secondary, female (% gross)","Barbados","109.46294"
"School enrollment, secondary, female (% gross)","Belarus","104.63758"
"School enrollment, secondary, female (% gross)","Belgium","174.67844"
"School enrollment, secondary, female (% gross)","Belize","81.74861"
"School enrollment, secondary, female (% gross)","Benin","48.92763"
"School enrollment, secondary, female (% gross)","Bermuda","81.4513"
"School enrollment, secondary, female (% gross)","Bhutan","86.84084"
"School enrollment, secondary, female (% gross)","Bolivia","90.67494"
"School enrollment, secondary, female (% gross)","Bosnia and Herzegovina","NA"
"School enrollment, secondary, female (% gross)","Botswana","NA"
"School enrollment, secondary, female (% gross)","Brazil","102.85615"
"School enrollment, secondary, female (% gross)","British Virgin Islands","96.92737"
"School enrollment, secondary, female (% gross)","Brunei Darussalam","97.45723"
"School enrollment, secondary, female (% gross)","Bulgaria","100.5635"
"School enrollment, secondary, female (% gross)","Burkina Faso","32.32059"
"School enrollment, secondary, female (% gross)","Burundi","42.89834"
"School enrollment, secondary, female (% gross)","Cabo Verde","99.95758"
"School enrollment, secondary, female (% gross)","Cambodia","NA"
"School enrollment, secondary, female (% gross)","Cameroon","54.39524"
"School enrollment, secondary, female (% gross)","Canada","110.85762"
"School enrollment, secondary, female (% gross)","Caribbean small states","87.73061"
"School enrollment, secondary, female (% gross)","Cayman Islands","NA"
"School enrollment, secondary, female (% gross)","Central African Republic","NA"
"School enrollment, secondary, female (% gross)","Central Europe and the Baltics","101.262"
"School enrollment, secondary, female (% gross)","Chad","13.86375"
"School enrollment, secondary, female (% gross)","Channel Islands","NA"
"School enrollment, secondary, female (% gross)","Chile","102.11846"
"School enrollment, secondary, female (% gross)","China","NA"
